"site","station","overlap","overall_years","overall_frequency","overall_duration","overall_intensity","distance"
"Eastern Beach","BISHO",13,6,1.33,2.5,0.41,60.7
"Eastern Beach","CAPEPOINT",15,10,0.51,1.67,0.32,884.71
"Eastern Beach","CAPETOWND.F.MALAN-WK",9,6,0.62,1.64,0.87,870.37
"Eastern Beach","CAPETOWN-ROYALYACHTCLUB",0,0,0,0,0,884.41
"Eastern Beach","CAPETOWNSLANGKOP",3,2,0.4,1.22,0.36,897.81
"Eastern Beach","CAPETOWNWO",7,3,0.75,1.85,0.42,870.09
"Eastern Beach","CT-AWS",0,0,0,0,0,870.43
"Eastern Beach","DOHNE-AGR",0,0,0,0,0,69.63
"Eastern Beach","EASTLONDON-WK",9,6,1.08,2.02,0.49,8.24
"Eastern Beach","EASTLONDONWO",0,0,0,0,0,9.53
"Eastern Beach","GEORGEAWS",0,0,0,0,0,524.73
"Eastern Beach","GEORGECLIMATEAWS",0,0,0,0,0,525
"Eastern Beach","GEORGEWITFONTEIN",0,0,0,0,0,519.47
"Eastern Beach","HERMANUS",6,1,1,2.85,0.43,819.17
"Eastern Beach","JONKERSHOEK",0,0,0,0,0,840.16
"Eastern Beach","JOUBERTINAAWS",2,0,1,3,0.88,387.46
"Eastern Beach","JOUBERTINASCHOOLAWS",0,0,0,0,0,387.19
"Eastern Beach","KIRSTENBOSCH",15,9,0.55,1.54,0.42,885.86
"Eastern Beach","KNYSNA",3,1,1,2,0.39,462.78
"Eastern Beach","MAKATINIRESEARCHCENTRE",15,3,3,3.8,1.81,747.25
"Eastern Beach","MBAZWANAAIRFIELD",2,0,1,1.29,2.07,762.51
"Eastern Beach","MOLTENORESERVOIR",0,0,0,0,0,887.49
"Eastern Beach","MOSSELBAY",0,0,0,0,0,551.51
"Eastern Beach","PAARL",6,3,0.56,2.19,0.62,834.32
"Eastern Beach","PLETTENBERGBAAI",6,2,1.25,3.17,0.25,441.97
"Eastern Beach","PORTELIZABETHAWOS",7,1,1.5,3.63,1.32,239.09
"Eastern Beach","PORTELIZABETHAWS",0,0,0,0,0,239.13
"Eastern Beach","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,235.17
"Eastern Beach","PORTELIZABETH-WK",9,7,0.52,1.43,0.44,240.28
"Eastern Beach","PORTNOLLOTH",0,0,0,0,0,1131.56
"Eastern Beach","RIVERSDAL",0,0,0,0,0,629.17
"Eastern Beach","SAASTRONOMICALOBSERVATORY",15,7,1,1.73,0.95,881.33
"Eastern Beach","SPRINGBOK-WK",7,0,NA,NA,NA,1022.94
"Eastern Beach","SPRINGBOKWO",6,4,0.42,1.23,0.27,1023.2
"Eastern Beach","STRAND",3,1,0.67,1.75,0.24,849.23
"Eastern Beach","TSITSIKAMMA",6,1,1.67,2.85,0.72,389.08
"Eastern Beach","TYGERHOEK",15,5,2.25,4.85,1.01,752.97
"Eastern Beach","UITENHAGE",6,2,1.25,4.38,0.97,243.31
"Eastern Beach","VIOOLSDRIF",6,0,NA,NA,NA,1095.2
"Eastern Beach","VIOOLSDRIF-AWS",0,0,0,0,0,1089.52
"Eastern Beach","WILLOWMORE",15,10,0.62,1.74,0.58,414.08
"Fish Hoek","BISHO",20,5,4.1,4.3,0.38,831.47
"Fish Hoek","CAPEPOINT",20,14,0.8,1.88,0.26,24.14
"Fish Hoek","CAPETOWND.F.MALAN-WK",1,0,NA,NA,NA,23.87
"Fish Hoek","CAPETOWN-ROYALYACHTCLUB",11,7,2,4.02,0.68,24.4
"Fish Hoek","CAPETOWNSLANGKOP",16,11,1.61,2.19,0.3,11.15
"Fish Hoek","CAPETOWNWO",20,12,1.17,2.12,0.44,24.71
"Fish Hoek","CT-AWS",11,8,1.58,2.41,0.54,23.2
"Fish Hoek","DOHNE-AGR",11,7,2,4.02,0.68,857.02
"Fish Hoek","EASTLONDON-WK",1,0,NA,NA,NA,878.42
"Fish Hoek","EASTLONDONWO",11,8,1.58,2.41,0.54,877.13
"Fish Hoek","GEORGEAWS",3,0,NA,NA,NA,363.51
"Fish Hoek","GEORGECLIMATEAWS",0,0,0,0,0,363.32
"Fish Hoek","GEORGEWITFONTEIN",5,0,NA,NA,NA,368.05
"Fish Hoek","HERMANUS",19,13,1.24,2.48,0.49,78.99
"Fish Hoek","JONKERSHOEK",0,0,0,0,0,49
"Fish Hoek","JOUBERTINAAWS",15,9,2.31,3.28,0.62,500.75
"Fish Hoek","JOUBERTINASCHOOLAWS",0,0,0,0,0,500.97
"Fish Hoek","KIRSTENBOSCH",20,14,0.76,1.84,0.3,17.41
"Fish Hoek","KNYSNA",16,12,1.19,2.59,0.31,427.48
"Fish Hoek","MAKATINIRESEARCHCENTRE",20,10,1.95,2.25,0.97,1509.64
"Fish Hoek","MBAZWANAAIRFIELD",15,5,4.62,4.83,1.14,1539.63
"Fish Hoek","MOLTENORESERVOIR",11,8,1.3,2.34,0.26,22.65
"Fish Hoek","MOSSELBAY",4,0,NA,NA,NA,339.69
"Fish Hoek","PAARL",19,11,1.24,2.23,0.49,67.6
"Fish Hoek","PLETTENBERGBAAI",19,9,1.86,3.41,0.31,449.79
"Fish Hoek","PORTELIZABETHAWOS",20,11,2.16,2.37,0.59,661.15
"Fish Hoek","PORTELIZABETHAWS",3,0,NA,NA,NA,660.93
"Fish Hoek","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,665.19
"Fish Hoek","PORTELIZABETH-WK",1,0,0,0,0,659.66
"Fish Hoek","PORTNOLLOTH",3,0,NA,NA,NA,563.73
"Fish Hoek","RIVERSDAL",0,0,0,0,0,258.8
"Fish Hoek","SAASTRONOMICALOBSERVATORY",20,13,0.82,1.58,0.34,23.21
"Fish Hoek","SPRINGBOK-WK",2,0,NA,NA,NA,500.14
"Fish Hoek","SPRINGBOKWO",19,12,1.41,1.95,0.24,499.92
"Fish Hoek","STRAND",16,11,1.68,2.35,0.42,37.62
"Fish Hoek","TSITSIKAMMA",19,11,1.32,3.01,0.45,502.83
"Fish Hoek","TYGERHOEK",20,10,1.41,2.28,0.49,134.65
"Fish Hoek","UITENHAGE",19,7,1.95,3.76,0.5,647.01
"Fish Hoek","VIOOLSDRIF",10,0,NA,NA,NA,610.12
"Fish Hoek","VIOOLSDRIF-AWS",10,5,2.73,4.1,0.77,602.18
"Fish Hoek","WILLOWMORE",20,12,1.37,2.2,0.51,475.69
"Gordons Bay","BISHO",26,8,3.4,3.58,0.35,793.45
"Gordons Bay","CAPEPOINT",40,20,0.63,1.38,0.21,40.27
"Gordons Bay","CAPETOWND.F.MALAN-WK",21,8,0.35,0.79,0.32,31.85
"Gordons Bay","CAPETOWN-ROYALYACHTCLUB",11,7,2.4,4.57,0.86,46.74
"Gordons Bay","CAPETOWNSLANGKOP",16,11,1.7,2.27,0.32,49.78
"Gordons Bay","CAPETOWNWO",20,12,1.23,2.25,0.46,32.29
"Gordons Bay","CT-AWS",11,10,1.89,2.74,0.68,31.29
"Gordons Bay","DOHNE-AGR",11,7,2.4,4.57,0.86,819.34
"Gordons Bay","EASTLONDON-WK",21,6,0.81,1.48,0.27,840.19
"Gordons Bay","EASTLONDONWO",11,10,1.89,2.74,0.68,838.9
"Gordons Bay","GEORGEAWS",3,0,NA,NA,NA,324.94
"Gordons Bay","GEORGECLIMATEAWS",0,0,0,0,0,324.75
"Gordons Bay","GEORGEWITFONTEIN",5,0,NA,NA,NA,329.56
"Gordons Bay","HERMANUS",19,12,1.21,2.46,0.47,45.09
"Gordons Bay","JONKERSHOEK",0,0,0,0,0,22.61
"Gordons Bay","JOUBERTINAAWS",15,10,2.44,3.4,0.66,462.25
"Gordons Bay","JOUBERTINASCHOOLAWS",0,0,0,0,0,462.48
"Gordons Bay","KIRSTENBOSCH",40,21,0.59,1.33,0.25,43.99
"Gordons Bay","KNYSNA",16,11,1.26,2.68,0.32,388.85
"Gordons Bay","MAKATINIRESEARCHCENTRE",31,13,2,2.36,0.96,1476.06
"Gordons Bay","MBAZWANAAIRFIELD",15,5,4.88,4.99,1.2,1505.67
"Gordons Bay","MOLTENORESERVOIR",11,10,1.57,2.66,0.33,48.2
"Gordons Bay","MOSSELBAY",4,0,NA,NA,NA,300.99
"Gordons Bay","PAARL",19,11,1.21,2.21,0.47,49.8
"Gordons Bay","PLETTENBERGBAAI",19,8,1.82,3.39,0.29,411.12
"Gordons Bay","PORTELIZABETHAWOS",20,12,2.26,2.52,0.62,622.49
"Gordons Bay","PORTELIZABETHAWS",3,0,NA,NA,NA,622.27
"Gordons Bay","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,626.53
"Gordons Bay","PORTELIZABETH-WK",21,8,0.41,0.96,0.32,621
"Gordons Bay","PORTNOLLOTH",3,0,NA,NA,NA,577.57
"Gordons Bay","RIVERSDAL",0,0,0,0,0,220.2
"Gordons Bay","SAASTRONOMICALOBSERVATORY",40,17,0.81,1.43,0.41,43.31
"Gordons Bay","SPRINGBOK-WK",7,0,NA,NA,NA,508.03
"Gordons Bay","SPRINGBOKWO",19,10,1.38,1.94,0.23,507.84
"Gordons Bay","STRAND",16,11,1.77,2.43,0.44,2.34
"Gordons Bay","TSITSIKAMMA",19,11,1.29,2.99,0.43,464.18
"Gordons Bay","TYGERHOEK",40,12,1.39,2.2,0.52,95.99
"Gordons Bay","UITENHAGE",19,8,1.9,3.73,0.48,608.5
"Gordons Bay","VIOOLSDRIF",10,0,NA,NA,NA,618.76
"Gordons Bay","VIOOLSDRIF-AWS",10,6,3.18,4.4,0.91,610.76
"Gordons Bay","WILLOWMORE",40,17,1,1.76,0.41,438.11
"Hamburg","BISHO",16,4,4.43,3.96,0.35,47.88
"Hamburg","CAPEPOINT",16,9,0.72,1.57,0.22,839.53
"Hamburg","CAPETOWND.F.MALAN-WK",0,0,0,0,0,826.28
"Hamburg","CAPETOWN-ROYALYACHTCLUB",10,4,1.53,2.62,0.43,840.5
"Hamburg","CAPETOWNSLANGKOP",15,7,1.36,1.68,0.24,853.25
"Hamburg","CAPETOWNWO",16,9,1,1.66,0.33,826.03
"Hamburg","CT-AWS",10,5,1.28,1.71,0.35,826.33
"Hamburg","DOHNE-AGR",10,4,1.53,2.62,0.43,85.08
"Hamburg","EASTLONDON-WK",0,0,0,0,0,42.85
"Hamburg","EASTLONDONWO",10,5,1.28,1.71,0.35,41.75
"Hamburg","GEORGEAWS",2,0,NA,NA,NA,479.24
"Hamburg","GEORGECLIMATEAWS",0,0,0,0,0,479.48
"Hamburg","GEORGEWITFONTEIN",4,0,NA,NA,NA,474.27
"Hamburg","HERMANUS",16,8,1,1.83,0.39,773.56
"Hamburg","JONKERSHOEK",0,0,0,0,0,796.04
"Hamburg","JOUBERTINAAWS",14,7,1.88,2.31,0.46,341.75
"Hamburg","JOUBERTINASCHOOLAWS",0,0,0,0,0,341.5
"Hamburg","KIRSTENBOSCH",16,10,0.63,1.52,0.24,841.77
"Hamburg","KNYSNA",15,9,0.97,1.82,0.22,416.57
"Hamburg","MAKATINIRESEARCHCENTRE",16,6,1.94,1.93,0.85,794.8
"Hamburg","MBAZWANAAIRFIELD",14,3,5,4.11,0.92,810.79
"Hamburg","MOLTENORESERVOIR",10,5,1.05,1.66,0.18,843.54
"Hamburg","MOSSELBAY",3,0,NA,NA,NA,505.38
"Hamburg","PAARL",16,8,1,1.77,0.36,791
"Hamburg","PLETTENBERGBAAI",16,6,1.55,2.58,0.22,395.36
"Hamburg","PORTELIZABETHAWOS",16,8,1.82,1.86,0.44,189.95
"Hamburg","PORTELIZABETHAWS",2,0,NA,NA,NA,190
"Hamburg","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,185.98
"Hamburg","PORTELIZABETH-WK",0,0,0,0,0,191.18
"Hamburg","PORTNOLLOTH",2,0,NA,NA,NA,1104.19
"Hamburg","RIVERSDAL",0,0,0,0,0,583.93
"Hamburg","SAASTRONOMICALOBSERVATORY",16,9,0.67,1.27,0.26,837.38
"Hamburg","SPRINGBOK-WK",0,0,0,0,0,995.58
"Hamburg","SPRINGBOKWO",16,7,1.19,1.57,0.19,995.82
"Hamburg","STRAND",15,7,1.5,1.76,0.32,804.58
"Hamburg","TSITSIKAMMA",16,7,1.03,2.26,0.33,342.23
"Hamburg","TYGERHOEK",16,8,1.11,1.67,0.35,708
"Hamburg","UITENHAGE",16,6,1.48,2.61,0.35,196.27
"Hamburg","VIOOLSDRIF",8,0,NA,NA,NA,1071.25
"Hamburg","VIOOLSDRIF-AWS",9,4,2.3,3.11,0.53,1065.34
"Hamburg","WILLOWMORE",16,7,1.35,1.88,0.45,372.32
"Hermanus","BISHO",23,6,2.5,4.98,0.29,762.51
"Hermanus","CAPEPOINT",23,12,0.52,2.26,0.21,70.08
"Hermanus","CAPETOWND.F.MALAN-WK",4,1,0.67,2.29,0.59,77.17
"Hermanus","CAPETOWN-ROYALYACHTCLUB",11,7,1.33,5.83,0.6,92.05
"Hermanus","CAPETOWNSLANGKOP",16,9,1.04,2.78,0.24,90.34
"Hermanus","CAPETOWNWO",20,10,0.83,2.88,0.37,77.58
"Hermanus","CT-AWS",11,8,1.05,3.49,0.48,76.63
"Hermanus","DOHNE-AGR",11,7,1.33,5.83,0.6,789.92
"Hermanus","EASTLONDON-WK",4,1,0.8,2.49,0.3,808.17
"Hermanus","EASTLONDONWO",11,8,1.05,3.49,0.48,806.88
"Hermanus","GEORGEAWS",3,0,NA,NA,NA,291.68
"Hermanus","GEORGECLIMATEAWS",0,0,0,0,0,291.42
"Hermanus","GEORGEWITFONTEIN",5,0,NA,NA,NA,296.98
"Hermanus","HERMANUS",19,11,0.79,2.99,0.38,3.49
"Hermanus","JONKERSHOEK",0,0,0,0,0,57.71
"Hermanus","JOUBERTINAAWS",15,7,1.5,4.16,0.5,429.11
"Hermanus","JOUBERTINASCHOOLAWS",0,0,0,0,0,429.36
"Hermanus","KIRSTENBOSCH",23,12,0.5,2.22,0.26,88.88
"Hermanus","KNYSNA",16,10,0.77,3.28,0.25,354.51
"Hermanus","MAKATINIRESEARCHCENTRE",23,8,1.36,2.99,0.85,1457.44
"Hermanus","MBAZWANAAIRFIELD",15,3,3,6.12,0.92,1486.18
"Hermanus","MOLTENORESERVOIR",11,8,0.87,3.39,0.23,93.36
"Hermanus","MOSSELBAY",4,0,NA,NA,NA,265.84
"Hermanus","PAARL",19,9,0.79,2.69,0.38,80.68
"Hermanus","PLETTENBERGBAAI",19,9,1.18,4.12,0.24,376.29
"Hermanus","PORTELIZABETHAWOS",20,9,1.53,3.22,0.5,587.31
"Hermanus","PORTELIZABETHAWS",3,0,NA,NA,NA,587.11
"Hermanus","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,591.37
"Hermanus","PORTELIZABETH-WK",4,2,0.67,1.69,0.25,585.85
"Hermanus","PORTNOLLOTH",3,0,NA,NA,NA,616.29
"Hermanus","RIVERSDAL",0,0,0,0,0,187.38
"Hermanus","SAASTRONOMICALOBSERVATORY",23,12,0.57,1.84,0.3,88.64
"Hermanus","SPRINGBOK-WK",5,0,NA,NA,NA,542.89
"Hermanus","SPRINGBOKWO",19,10,0.9,2.35,0.19,542.72
"Hermanus","STRAND",16,10,1.09,2.97,0.34,47.47
"Hermanus","TSITSIKAMMA",19,9,0.84,3.63,0.35,429.56
"Hermanus","TYGERHOEK",23,9,1.03,3.19,0.46,66.62
"Hermanus","UITENHAGE",19,6,1.24,4.54,0.38,574.9
"Hermanus","VIOOLSDRIF",10,0,NA,NA,NA,653.86
"Hermanus","VIOOLSDRIF-AWS",10,5,1.73,5.63,0.63,645.82
"Hermanus","WILLOWMORE",23,12,0.86,2.63,0.42,409.94
"Hout Bay","BISHO",18,6,2.82,3.23,0.25,838.53
"Hout Bay","CAPEPOINT",18,9,0.66,1.7,0.19,36.07
"Hout Bay","CAPETOWND.F.MALAN-WK",2,0,3,1.79,2.27,24.65
"Hout Bay","CAPETOWN-ROYALYACHTCLUB",8,3,1.23,2.34,0.4,16.75
"Hout Bay","CAPETOWNSLANGKOP",13,6,1.17,1.82,0.22,11.28
"Hout Bay","CAPETOWNWO",17,8,0.97,1.98,0.32,25.18
"Hout Bay","CT-AWS",8,4,1.23,1.63,0.33,24.36
"Hout Bay","DOHNE-AGR",8,3,1.23,2.34,0.4,863.6
"Hout Bay","EASTLONDON-WK",2,0,3,2.05,0.6,885.79
"Hout Bay","EASTLONDONWO",8,4,1.23,1.63,0.33,884.51
"Hout Bay","GEORGEAWS",0,0,0,0,0,371.71
"Hout Bay","GEORGECLIMATEAWS",0,0,0,0,0,371.54
"Hout Bay","GEORGEWITFONTEIN",2,0,NA,NA,NA,376.05
"Hout Bay","HERMANUS",16,8,0.83,2.2,0.32,90.86
"Hout Bay","JONKERSHOEK",0,0,0,0,0,54.11
"Hout Bay","JOUBERTINAAWS",12,6,1.91,2.55,0.45,508.71
"Hout Bay","JOUBERTINASCHOOLAWS",0,0,0,0,0,508.92
"Hout Bay","KIRSTENBOSCH",18,10,0.66,1.69,0.23,10.61
"Hout Bay","KNYSNA",13,8,0.75,1.95,0.2,435.88
"Hout Bay","MAKATINIRESEARCHCENTRE",18,6,2.38,2.91,0.76,1512.74
"Hout Bay","MBAZWANAAIRFIELD",12,3,3.5,3.74,0.77,1542.98
"Hout Bay","MOLTENORESERVOIR",8,4,0.8,1.61,0.19,13.69
"Hout Bay","MOSSELBAY",1,0,NA,NA,NA,348.46
"Hout Bay","PAARL",16,6,0.96,2.27,0.35,68.03
"Hout Bay","PLETTENBERGBAAI",16,7,1.19,2.86,0.19,458.3
"Hout Bay","PORTELIZABETHAWOS",17,7,2.07,2.49,0.47,669.6
"Hout Bay","PORTELIZABETHAWS",0,0,0,0,0,669.38
"Hout Bay","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,673.64
"Hout Bay","PORTELIZABETH-WK",2,1,2,0.9,0.14,668.11
"Hout Bay","PORTNOLLOTH",0,0,0,0,0,551.88
"Hout Bay","RIVERSDAL",0,0,0,0,0,267.19
"Hout Bay","SAASTRONOMICALOBSERVATORY",18,8,0.76,1.44,0.27,17.48
"Hout Bay","SPRINGBOK-WK",3,0,NA,NA,NA,489.36
"Hout Bay","SPRINGBOKWO",16,9,1,1.64,0.16,489.13
"Hout Bay","STRAND",13,7,1.11,1.72,0.27,47.03
"Hout Bay","TSITSIKAMMA",16,7,0.96,2.76,0.31,511.22
"Hout Bay","TYGERHOEK",18,6,1.19,2.12,0.36,143.43
"Hout Bay","UITENHAGE",16,4,1.47,3.54,0.39,654.99
"Hout Bay","VIOOLSDRIF",10,0,NA,NA,NA,599.13
"Hout Bay","VIOOLSDRIF-AWS",7,3,2.6,2.72,0.47,591.2
"Hout Bay","WILLOWMORE",18,8,1.15,1.99,0.37,482.27
"Humewood","BISHO",14,7,2.1,3.1,0.32,193.31
"Humewood","CAPEPOINT",27,16,0.69,1.73,0.23,660.08
"Humewood","CAPETOWND.F.MALAN-WK",20,13,0.65,1.66,0.5,650
"Humewood","CAPETOWN-ROYALYACHTCLUB",0,0,0,0,0,664.69
"Humewood","CAPETOWNSLANGKOP",4,2,0.43,1.07,0.19,675.46
"Humewood","CAPETOWNWO",8,4,0.92,1.79,0.34,649.82
"Humewood","CT-AWS",0,0,0,0,0,649.97
"Humewood","DOHNE-AGR",0,0,0,0,0,232.92
"Humewood","EASTLONDON-WK",20,8,1.5,3.17,0.43,227.65
"Humewood","EASTLONDONWO",0,0,0,0,0,226.41
"Humewood","GEORGEAWS",0,0,0,0,0,301.2
"Humewood","GEORGECLIMATEAWS",0,0,0,0,0,301.34
"Humewood","GEORGEWITFONTEIN",0,0,0,0,0,297.3
"Humewood","HERMANUS",7,3,0.88,2.21,0.32,593.15
"Humewood","JONKERSHOEK",0,0,0,0,0,619.8
"Humewood","JOUBERTINAAWS",3,2,1,2.46,0.68,166.08
"Humewood","JOUBERTINASCHOOLAWS",0,0,0,0,0,165.94
"Humewood","KIRSTENBOSCH",27,17,0.69,1.65,0.3,665.38
"Humewood","KNYSNA",4,2,0.43,1.67,0.18,236.91
"Humewood","MAKATINIRESEARCHCENTRE",19,7,2.36,3.66,0.9,960.86
"Humewood","MBAZWANAAIRFIELD",3,2,1.5,1.6,0.57,980.41
"Humewood","MOLTENORESERVOIR",0,0,0,0,0,667.57
"Humewood","MOSSELBAY",0,0,0,0,0,324.92
"Humewood","PAARL",7,3,0.7,1.94,0.4,617.23
"Humewood","PLETTENBERGBAAI",7,2,1,2.74,0.18,214.58
"Humewood","PORTELIZABETHAWOS",8,4,1.71,3.13,0.72,3.6
"Humewood","PORTELIZABETHAWS",0,0,0,0,0,3.62
"Humewood","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,1.4
"Humewood","PORTELIZABETH-WK",20,11,0.75,2.03,0.52,4.83
"Humewood","PORTNOLLOTH",0,0,0,0,0,982.77
"Humewood","RIVERSDAL",0,0,0,0,0,405.61
"Humewood","SAASTRONOMICALOBSERVATORY",27,11,1.12,2.1,0.76,661.45
"Humewood","SPRINGBOK-WK",7,0,NA,NA,NA,875.62
"Humewood","SPRINGBOKWO",7,4,0.5,1.12,0.19,875.8
"Humewood","STRAND",4,2,0.6,1.45,0.14,626.73
"Humewood","TSITSIKAMMA",7,3,0.88,2.35,0.48,161.56
"Humewood","TYGERHOEK",27,6,1.85,3.64,0.74,529.71
"Humewood","UITENHAGE",7,2,0.88,3.44,0.52,34.69
"Humewood","VIOOLSDRIF",7,0,NA,NA,NA,962.71
"Humewood","VIOOLSDRIF-AWS",0,0,0,0,0,956.05
"Humewood","WILLOWMORE",27,11,0.9,2.17,0.52,213.91
"Knysna","BISHO",15,4,3.71,5.13,0.32,412.64
"Knysna","CAPEPOINT",15,9,0.63,2.15,0.22,422.24
"Knysna","CAPETOWND.F.MALAN-WK",0,0,0,0,0,412.09
"Knysna","CAPETOWN-ROYALYACHTCLUB",9,4,1.31,3.77,0.5,426.87
"Knysna","CAPETOWNSLANGKOP",14,8,1.24,2.59,0.26,437.39
"Knysna","CAPETOWNWO",15,9,0.84,2.15,0.3,411.92
"Knysna","CT-AWS",9,5,1.06,2.31,0.38,412.04
"Knysna","DOHNE-AGR",9,4,1.31,3.77,0.5,443.36
"Knysna","EASTLONDON-WK",0,0,0,0,0,456.4
"Knysna","EASTLONDONWO",9,5,1.06,2.31,0.38,455.12
"Knysna","GEORGEAWS",1,0,NA,NA,NA,63.87
"Knysna","GEORGECLIMATEAWS",0,0,0,0,0,63.92
"Knysna","GEORGEWITFONTEIN",3,0,NA,NA,NA,61.42
"Knysna","HERMANUS",15,9,0.87,2.53,0.37,355.66
"Knysna","JONKERSHOEK",0,0,0,0,0,381.92
"Knysna","JOUBERTINAAWS",13,7,2,3.58,0.5,77.93
"Knysna","JOUBERTINASCHOOLAWS",0,0,0,0,0,78.25
"Knysna","KIRSTENBOSCH",15,10,0.55,2.08,0.23,427.44
"Knysna","KNYSNA",14,10,0.87,2.76,0.24,3.61
"Knysna","MAKATINIRESEARCHCENTRE",15,6,1.86,3.09,0.82,1143.71
"Knysna","MBAZWANAAIRFIELD",13,4,4.33,5.81,0.96,1168.41
"Knysna","MOLTENORESERVOIR",9,5,0.81,2.26,0.22,429.71
"Knysna","MOSSELBAY",2,0,NA,NA,NA,87.2
"Knysna","PAARL",15,8,0.93,2.45,0.35,380.28
"Knysna","PLETTENBERGBAAI",15,8,1.37,3.68,0.21,23.59
"Knysna","PORTELIZABETHAWOS",15,8,1.62,2.7,0.44,234.87
"Knysna","PORTELIZABETHAWS",1,0,NA,NA,NA,234.66
"Knysna","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,238.91
"Knysna","PORTELIZABETH-WK",0,0,0,0,0,233.38
"Knysna","PORTNOLLOTH",1,0,NA,NA,NA,795.27
"Knysna","RIVERSDAL",0,0,0,0,0,167.57
"Knysna","SAASTRONOMICALOBSERVATORY",15,9,0.65,1.73,0.25,423.6
"Knysna","SPRINGBOK-WK",0,0,0,0,0,693.1
"Knysna","SPRINGBOKWO",15,8,1.18,2.24,0.19,693.19
"Knysna","STRAND",14,9,1.37,2.67,0.33,388.65
"Knysna","TSITSIKAMMA",15,8,0.93,3.22,0.32,76.6
"Knysna","TYGERHOEK",15,8,0.93,2.17,0.33,291.64
"Knysna","UITENHAGE",15,5,1.37,3.72,0.35,222.05
"Knysna","VIOOLSDRIF",8,0,NA,NA,NA,791.83
"Knysna","VIOOLSDRIF-AWS",8,4,3,4.21,0.63,784.43
"Knysna","WILLOWMORE",15,7,1.3,2.72,0.44,94.78
"Kommetjie","BISHO",20,7,3.5,4.78,0.57,841.52
"Kommetjie","CAPEPOINT",20,14,0.69,2.09,0.39,27.87
"Kommetjie","CAPETOWND.F.MALAN-WK",1,0,NA,NA,NA,31.16
"Kommetjie","CAPETOWN-ROYALYACHTCLUB",11,7,1.67,4.37,1,26.53
"Kommetjie","CAPETOWNSLANGKOP",16,12,1.3,2.41,0.47,1.35
"Kommetjie","CAPETOWNWO",20,13,1,2.35,0.65,31.88
"Kommetjie","CT-AWS",11,9,1.32,2.62,0.8,30.65
"Kommetjie","DOHNE-AGR",11,7,1.67,4.37,1,867
"Kommetjie","EASTLONDON-WK",1,0,NA,NA,NA,888.5
"Kommetjie","EASTLONDONWO",11,9,1.32,2.62,0.8,887.21
"Kommetjie","GEORGEAWS",3,0,NA,NA,NA,373.63
"Kommetjie","GEORGECLIMATEAWS",0,0,0,0,0,373.44
"Kommetjie","GEORGEWITFONTEIN",5,0,NA,NA,NA,378.16
"Kommetjie","HERMANUS",19,13,1.03,2.65,0.7,88.29
"Kommetjie","JONKERSHOEK",0,0,0,0,0,58.44
"Kommetjie","JOUBERTINAAWS",15,10,1.88,3.61,0.96,510.86
"Kommetjie","JOUBERTINASCHOOLAWS",0,0,0,0,0,511.08
"Kommetjie","KIRSTENBOSCH",20,14,0.65,2.05,0.45,19.8
"Kommetjie","KNYSNA",16,13,0.97,2.85,0.47,437.61
"Kommetjie","MAKATINIRESEARCHCENTRE",20,10,1.67,2.5,1.44,1518.74
"Kommetjie","MBAZWANAAIRFIELD",15,5,3.75,5.32,1.76,1548.82
"Kommetjie","MOLTENORESERVOIR",11,9,1.09,2.54,0.38,23.7
"Kommetjie","MOSSELBAY",4,0,NA,NA,NA,349.81
"Kommetjie","PAARL",19,13,1.03,2.38,0.7,75.3
"Kommetjie","PLETTENBERGBAAI",19,9,1.55,3.65,0.43,459.91
"Kommetjie","PORTELIZABETHAWOS",20,12,1.84,2.63,0.88,671.27
"Kommetjie","PORTELIZABETHAWS",3,0,NA,NA,NA,671.06
"Kommetjie","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,675.31
"Kommetjie","PORTELIZABETH-WK",1,1,1,1.25,0.19,669.78
"Kommetjie","PORTNOLLOTH",3,0,NA,NA,NA,561.08
"Kommetjie","RIVERSDAL",0,0,0,0,0,268.93
"Kommetjie","SAASTRONOMICALOBSERVATORY",20,14,0.7,1.76,0.51,26.67
"Kommetjie","SPRINGBOK-WK",2,0,NA,NA,NA,499.16
"Kommetjie","SPRINGBOKWO",19,12,1.17,2.09,0.34,498.93
"Kommetjie","STRAND",16,12,1.36,2.58,0.65,47.75
"Kommetjie","TSITSIKAMMA",19,11,1.1,3.22,0.64,512.95
"Kommetjie","TYGERHOEK",20,12,1.21,2.53,0.72,144.77
"Kommetjie","UITENHAGE",19,9,1.62,4.02,0.71,657.13
"Kommetjie","VIOOLSDRIF",10,0,NA,NA,NA,608.85
"Kommetjie","VIOOLSDRIF-AWS",10,5,2.09,4.05,0.99,600.93
"Kommetjie","WILLOWMORE",20,13,1.17,2.44,0.76,485.67
"Mossel Bay","BISHO",17,6,2.6,5.43,0.27,496.14
"Mossel Bay","CAPEPOINT",17,10,0.57,2.63,0.2,337.84
